Sb,Sd,Added,Strain
2.5425,4.3096,1.7671,Str1
2.1489,4.8236,2.6747,Str1
2.4836,4.4897,2.0061,Str1
2.2138,4.8042,2.5904,Str1
2.3436,4.4446,2.101,Str1
3.38,5.0085,1.6285,Str1
2.6,5.4091,2.8091,Str1
2.737,5.1116,2.3746,Str1
2.6847,4.9417,2.257,Str1
2.8784,5.4081,2.5297,Str1
2.7424,6.1444,3.402,Str1
3.0887,5.7456,2.6569,Str1
3.0798,5.4976,2.4178,Str1
2.8318,5.4567,2.6249,Str1
2.7791,5.4101,2.631,Str1
2.8718,5.8138,2.942,Str1
2.9509,5.1556,2.2047,Str1
2.6847,5.468,2.7833,Str1
3.5154,5.8121,2.2967,Str1
2.99,5.6587,2.6687,Str1
2.9279,5.661,2.7331,Str1
2.863,5.4662,2.6032,Str1
2.798,4.875,2.077,Str1
2.34,5.4676,3.1276,Str1
2.6008,5.343,2.7422,Str1
2.613,5.4271,2.8141,Str1
2.6291,5.0067,2.3776,Str1
2.5358,5.5347,2.9989,Str1
2.9315,5.9221,2.9906,Str1
2.9964,5.1367,2.1403,Str1
2.6008,5.9915,3.3907,Str1
2.8607,5.9834,3.1227,Str1
2.5383,4.6881,2.1498,Str1
2.34,4.3804,2.0404,Str1
2.4709,5.4793,3.0084,Str1
2.73,6.1483,3.4183,Str1
2.8666,5.4728,2.6062,Str1
2.6658,5.2008,2.535,Str1
2.4709,4.6243,2.1534,Str1
2.3409,5.2332,2.8923,Str1
2.6008,5.3376,2.7368,Str1
2.5358,4.9489,2.4131,Str1
2.6008,5.596,2.9952,Str1
2.4477,4.7668,2.3191,Str1
2.8071,4.9537,2.1466,Str1
2.4836,5.9835,3.4999,Str1
2.21,4.8899,2.6799,Str1
2.419,5.2016,2.7826,Str1
2.7036,5.0717,2.3681,Str1
2.6008,5.3529,2.7521,Str1
3.185,6.4125,3.2275,Str1
3.2817,6.7482,3.4665,Str1
3.4749,5.8536,2.3787,Str1
2.9279,5.741,2.8131,Str1
2.943,6.3859,3.4429,Str1
2.6658,5.4146,2.7488,Str1
2.737,5.5069,2.7699,Str1
2.8221,5.4828,2.6607,Str1
2.798,5.7886,2.9906,Str1
2.7958,5.0067,2.2109,Str1
2.4709,5.0191,2.5482,Str1
2.6,6.4414,3.8414,Str1
3.3207,5.6761,2.3554,Str1
2.7331,5.5258,2.7927,Str1
2.6008,5.4146,2.8138,Str1
2.6008,5.0851,2.4843,Str1
2.8018,5.2927,2.4909,Str1
2.5557,5.8053,3.2496,Str1
2.7331,4.8134,2.0803,Str1
3.2604,6.9027,3.6423,Str1
2.73,4.2996,1.5696,Str1
2.2186,4.8883,2.6697,Str1
2.34,4.8118,2.4718,Str1
2.4709,6.0045,3.5336,Str1
3.2506,6.2182,2.9676,Str1
3.2817,6.0229,2.7412,Str1
2.6847,5.7206,3.0359,Str1
3.1207,6.8695,3.7488,Str1
2.6682,4.961,2.2928,Str1
2.6777,5.2031,2.5254,Str1
2.47,5.6764,3.2064,Str1
2.798,6.1818,3.3838,Str1
2.8318,5.5908,2.759,Str1
2.6777,5.1104,2.4327,Str1
2.4709,5.237,2.7661,Str1
2.6721,5.8787,3.2066,Str1
2.9279,5.1561,2.2282,Str1
2.6202,5.1085,2.4883,Str1
2.7677,5.4356,2.6679,Str1
2.5755,5.593,3.0175,Str1
3.835,6.7607,2.9257,Str1
3.575,6.2694,2.6944,Str1
3.3379,6.0173,2.6794,Str1
3.1308,6.0211,2.8903,Str1
3.3175,5.9551,2.6376,Str1
3.3156,5.8612,2.5456,Str1
2.7493,5.4092,2.6599,Str1
3.3806,6.7333,3.3527,Str1
3.3309,7.0975,3.7666,Str1
4.2375,7.3111,3.0736,Str1
3.9087,6.1683,2.2596,Str1
2.3409,4.8249,2.484,Str1
2.419,5.104,2.685,Str1
2.5483,5.5469,2.9986,Str1
2.7331,5.5008,2.7677,Str1
2.7331,5.4847,2.7516,Str1
2.7424,6.4773,3.7349,Str1
2.6847,5.366,2.6813,Str1
2.737,6.7257,3.9887,Str1
2.4059,5.0091,2.6032,Str1
2.4059,5.399,2.9931,Str1
2.7958,6.0138,3.218,Str1
2.8607,6.1275,3.2668,Str1
2.9365,5.7505,2.814,Str1
2.9928,7.865,4.8722,Str1
3.965,6.3787,2.4137,Str1
3.1261,5.9158,2.7897,Str1
2.47,4.9409,2.4709,Str1
2.535,5.7207,3.1857,Str1
2.9069,5.5311,2.6242,Str1
2.7331,6.1128,3.3797,Str1
3.055,6.2776,3.2226,Str1
3.3461,4.9511,1.605,Str1
2.4734,5.5387,3.0653,Str1
2.8666,5.2754,2.4088,Str1
2.6073,5.085,2.4777,Str1
2.8666,5.4908,2.6242,Str1
2.7331,6.1238,3.3907,Str1
3.0578,6.0697,3.0119,Str1
3.2558,6.3276,3.0718,Str1
3.191,5.7973,2.6063,Str1
2.8607,5.463,2.6023,Str1
2.798,5.3502,2.5522,Str1
2.73,5.3989,2.6689,Str1
2.86,5.3403,2.4803,Str1
2.6682,5.674,3.0058,Str1
2.9964,5.915,2.9186,Str1
2.925,5.5351,2.6101,Str1
2.863,5.8536,2.9906,Str1
3.0578,5.4054,2.3476,Str1
2.6073,6.257,3.6497,Str1
3.191,6.308,3.117,Str1
2.8666,5.2977,2.4311,Str1
2.613,5.1422,2.5292,Str1
2.6721,5.0807,2.4086,Str1
2.6073,5.461,2.8537,Str1
2.7677,5.3656,2.5979,Str1
2.6721,6.1155,3.4434,Str1
2.5425,4.7991,2.2566,Str1
2.3723,4.7747,2.4024,Str1
2.4913,4.6196,2.1283,Str1
2.3409,4.754,2.4131,Str1
2.3481,5.3704,3.0223,Str1
2.8221,4.6875,1.8654,Str1
2.275,8.5257,6.2507,Str1
3.2506,4.8216,1.571,Str1
2.4777,4.6837,2.206,Str1
2.2787,4.7531,2.4744,Str1
2.405,5.1494,2.7444,Str1
2.6658,5.5514,2.8856,Str1
2.7958,5.1359,2.3401,Str1
2.6008,5.3308,2.73,Str1
2.7308,6.1237,3.3929,Str1
3.1308,6.0736,2.9428,Str1
3.0076,6.1867,3.1791,Str1
3.1207,5.9978,2.8771,Str1
2.9365,5.2234,2.2869,Str1
2.6032,5.4675,2.8643,Str1
2.6,5.7352,3.1352,Str1
2.9928,5.3436,2.3508,Str1
2.86,4.9082,2.0482,Str1
2.6,5.4676,2.8676,Str1
3.4105,5.6049,2.1944,Str1
3.525,6.3738,2.8488,Str1
3.2383,6.0484,2.8101,Str1
2.6658,5.4719,2.8061,Str1
2.4059,5.7,3.2941,Str1
2.6202,5.2723,2.6521,Str1
2.665,5.7098,3.0448,Str1
2.896,4.8321,1.9361,Str1
2.4777,5.0764,2.5987,Str1
2.5648,5.4673,2.9025,Str1
2.6073,5.7215,3.1142,Str1
2.9907,5.4638,2.4731,Str1
2.6658,5.5495,2.8837,Str1
2.8718,4.7102,1.8384,Str1
2.419,4.9105,2.4915,Str1
2.4836,5.0985,2.6149,Str1
2.6073,6.2744,3.6671,Str1
3.25,5.863,2.613,Str1
2.9279,5.6588,2.7309,Str1
3.5897,6.2748,2.6851,Str1
3.2088,6.1381,2.9293,Str1
2.9365,5.0808,2.1443,Str1
2.5383,6.5701,4.0318,Str1
3.3825,7.1559,3.7734,Str1
3.5803,6.6618,3.0815,Str1
2.7331,6.2517,3.5186,Str1
3.1857,6.1355,2.9498,Str1
3.0557,6.382,3.3263,Str1
3.3207,6.2569,2.9362,Str1
2.6721,5.5388,2.8667,Str1
2.9928,4.9613,1.9685,Str1
2.4777,5.2721,2.7944,Str1
2.6,5.3563,2.7563,Str1
2.8138,5.7259,2.9121,Str1
2.9279,6.1445,3.2166,Str1
3.1369,5.8515,2.7146,Str1
2.9257,5.8558,2.9301,Str1
2.4836,5.33,2.8464,Str1
2.6,4.824,2.224,Str1
2.405,4.9433,2.5383,Str1
2.5383,6.1815,3.6432,Str1
2.9257,5.3331,2.4074,Str1
2.6682,5.5457,2.8775,Str1
2.8865,6.1981,3.3116,Str1
3.0612,7.5507,4.4895,Str1
3.4475,5.3377,1.8902,Str1
2.5358,6.5068,3.971,Str1
3.191,6.3943,3.2033,Str1
3.25,6.0515,2.8015,Str1
3.12,5.1498,2.0298,Str1
2.5425,5.3966,2.8541,Str1
3.1877,6.1272,2.9395,Str1
3.1308,5.2714,2.1406,Str1
2.7331,4.8821,2.149,Str1
3.0153,5.434,2.4187,Str1
2.6847,5.8744,3.1897,Str1
2.943,5.7328,2.7898,Str1
2.9257,5.868,2.9423,Str1
2.8071,5.525,2.7179,Str1
2.86,5.8098,2.9498,Str1
2.9928,5.6737,2.6809,Str1
2.7308,4.68,1.9492,Str1
2.405,5.0261,2.6211,Str1
2.843,6.182,3.339,Str1
3.1744,6.5086,3.3342,Str1
2.4734,5.7272,3.2538,Str1
2.7958,4.7567,1.9609,Str1
2.3481,4.7025,2.3544,Str1
2.3481,4.827,2.4789,Str1
2.5483,5.5008,2.9525,Str1
2.7677,5.5368,2.7691,Str1
2.7791,5.5215,2.7424,Str1
2.7424,4.9104,2.168,Str1
2.419,5.0717,2.6527,Str1
2.99,5.9979,3.0079,Str1
2.47,5.2973,2.8273,Str1
2.6682,5.5371,2.8689,Str1
2.8071,5.5288,2.7217,Str1
2.798,6.1912,3.3932,Str1
2.7493,5.1367,2.3874,Str1
2.4709,5.9268,3.4559,Str1
3.055,5.6298,2.5748,Str1
2.8318,4.9479,2.1161,Str1
2.4129,4.7492,2.3363,Str1
2.146,5.2754,3.1294,Str1
2.6721,5.3966,2.7245,Str1
3.3806,5.3224,1.9418,Str1
2.6291,5.3966,2.7675,Str1
2.6658,5.5595,2.8937,Str1
2.7577,5.9442,3.1865,Str1
3.0578,7.5476,4.4898,Str1
2.6721,5.5155,2.8434,Str1
2.6291,5.4701,2.841,Str1
2.7331,5.2683,2.5352,Str1
2.798,5.8116,3.0136,Str1
2.8607,5.9157,3.055,Str1
2.9907,5.4084,2.4177,Str1
2.7308,5.8515,3.1207,Str1
2.9907,5.9223,2.9316,Str1
2.8666,5.811,2.9444,Str1
3.0153,5.6096,2.5943,Str1
2.6008,5.7568,3.156,Str1
2.8784,6.0066,3.1282,Str1
3.0557,6.5874,3.5317,Str1
3.1207,6.3507,3.23,Str1
3.1877,6.3367,3.149,Str1
3.055,5.8034,2.7484,Str1
2.8071,5.2683,2.4612,Str1
2.665,5.4211,2.7561,Str1
2.8138,5.7448,2.931,Str1
2.8018,5.9116,3.1098,Str1
2.9709,5.4792,2.5083,Str1
2.8071,5.6739,2.8668,Str1
2.5557,6.8625,4.3068,Str1
3.467,6.1202,2.6532,Str1
2.7577,5.5257,2.768,Str1
2.73,6.7213,3.9913,Str1
2.7424,5.211,2.4686,Str1
2.4129,4.8101,2.3972,Str1
2.3625,5.5388,3.1763,Str1
2.5425,4.4357,1.8932,Str1
2.275,5.207,2.932,Str1
2.47,4.9443,2.4743,Str1
2.943,5.343,2.4,Str1
2.73,5.7396,3.0096,Str1
2.9257,5.4638,2.5381,Str1
2.798,5.8972,3.0992,Str1
3.0013,6.1446,3.1433,Str1
2.5358,6.056,3.5202,Str1
3.066,5.7275,2.6615,Str1
2.8607,6.3283,3.4676,Str1
3.3207,6.7612,3.4405,Str1
3.4456,6.2582,2.8126,Str1
2.8865,6.0153,3.1288,Str1
3.0722,6.0178,2.9456,Str1
2.9829,6.208,3.2251,Str1
3.153,5.6306,2.4776,Str1
2.863,5.9185,3.0555,Str1
2.7308,5.7887,3.0579,Str1
2.9365,5.8787,2.9422,Str1
2.9279,6.1419,3.214,Str1
3.191,6.5884,3.3974,Str1
2.4777,4.9417,2.464,Str1
2.4709,4.9539,2.483,Str1
4.3023,7.3102,3.0079,Str1
3.5774,6.6654,3.088,Str1
3.5124,5.9268,2.4144,Str1
3.066,6.1464,3.0804,Str1
3.3825,5.9164,2.5339,Str1
3.1857,5.2107,2.025,Str1
2.6682,6.841,4.1728,Str1
3.3806,6.3785,2.9979,Str1
3.1308,5.9378,2.807,Str1
3.0798,5.5819,2.5021,Str1
2.8666,5.2888,2.4222,Str1
2.9279,5.1582,2.2303,Str1
2.4734,5.2135,2.7401,Str1
2.6777,5.7982,3.1205,Str1
2.9315,5.4862,2.5547,Str1
3.3662,8.9829,5.6167,Str1
4.875,8.838,3.963,Str1
4.5727,6.4713,1.8986,Str1
2.9315,6.0077,3.0762,Str1
3.0798,5.41,2.3302,Str1
2.73,4.8398,2.1098,Str1
2.4269,6.0591,3.6322,Str1
2.9279,6.3311,3.4032,Str1
3.2733,5.2201,1.9468,Str1
2.6777,4.8217,2.144,Str1
2.5383,5.2731,2.7348,Str1
2.798,5.3979,2.5999,Str1
2.863,5.9815,3.1185,Str1
3.1207,6.2523,3.1316,Str1
3.1308,6.0286,2.8978,Str1
3.0578,5.47,2.4122,Str1
2.6682,5.9359,3.2677,Str1
2.9928,6.0011,3.0083,Str1
2.665,5.1391,2.4741,Str1
2.6008,5.3505,2.7497,Str1
2.8666,5.4091,2.5425,Str1
2.9315,5.334,2.4025,Str1
2.9964,5.9979,3.0015,Str1
3.1261,5.7311,2.605,Str1
3.3309,6.0484,2.7175,Str1
2.9257,5.9979,3.0722,Str1
2.9257,5.3982,2.4725,Str1
2.9964,5.4891,2.4927,Str1
2.86,5.7389,2.8789,Str1
2.6515,4.9613,2.3098,Str1
2.4913,4.8192,2.3279,Str1
2.2833,5.5753,3.292,Str1
2.6073,4.6268,2.0195,Str1
2.3481,4.3589,2.0108,Str1
2.1489,4.5579,2.409,Str1
2.6721,5.279,2.6069,Str1
3.3252,6.5085,3.1833,Str1
3.2526,6.456,3.2034,Str1
3.3252,5.5368,2.2116,Str1
2.8718,5.0215,2.1497,Str1
2.4085,4.7536,2.3451,Str1
2.535,5.0777,2.5427,Str1
2.535,4.8794,2.3444,Str1
2.5358,5.1674,2.6316,Str1
3.1308,7.2823,4.1515,Str1
3.705,6.1764,2.4714,Str1
3.2506,6.1756,2.925,Str1
3.4456,6.7652,3.3196,Str1
3.6452,5.6276,1.9824,Str1
3.0612,5.5406,2.4794,Str1
2.863,5.3051,2.4421,Str1
2.7493,5.303,2.5537,Str1
2.6515,5.7392,3.0877,Str1
2.8784,6.023,3.1446,Str1
3.38,6.5762,3.1962,Str1
3.1376,5.4214,2.2838,Str1
2.7493,6.7912,4.0419,Str1
3.4603,5.8026,2.3423,Str1
3.0076,5.4734,2.4658,Str1
2.7958,4.7487,1.9529,Str1
2.405,5.5968,3.1918,Str1
3.0153,6.1637,3.1484,Str1
2.6658,5.2016,2.5358,Str1
2.6658,5.9212,3.2554,Str1
2.86,6.8631,4.0031,Str1
3.5897,7.0355,3.4458,Str1
2.9928,5.7922,2.7994,Str1
3.0578,5.5514,2.4936,Str1
2.8666,5.2197,2.3531,Str1
2.7958,4.834,2.0382,Str1
2.5358,5.4615,2.9257,Str1
2.6658,6.3083,3.6425,Str1
3.1877,5.0394,1.8517,Str1
2.5557,5.33,2.7743,Str1
2.8607,5.673,2.8123,Str1
2.943,5.727,2.784,Str1
3.5154,8.4279,4.9125,Str1
4.42,6.3219,1.9019,Str1
2.8071,5.486,2.6789,Str1
2.6721,6.1047,3.4326,Str1
3.2088,6.4512,3.2424,Str1
3.2662,5.6208,2.3546,Str1
2.7424,5.6524,2.91,Str1
2.9192,5.0979,2.1787,Str1
2.6202,5.6191,2.9989,Str1
2.9257,5.7347,2.809,Str1
2.8718,5.8618,2.99,Str1
2.925,5.4792,2.5542,Str1
2.6721,5.4421,2.77,Str1
2.8666,5.5406,2.674,Str1
2.6777,5.5289,2.8512,Str1
2.7331,5.853,3.1199,Str1
3.153,5.863,2.71,Str1
2.9964,5.2692,2.2728,Str1
2.5383,5.0188,2.4805,Str1
2.613,5.3186,2.7056,Str1
2.8018,5.6565,2.8547,Str1
2.6658,5.1358,2.47,Str1
2.6008,5.4865,2.8857,Str1
2.8018,5.8594,3.0576,Str1
2.9315,6.3063,3.3748,Str1
3.2506,5.9444,2.6938,Str1
3.066,6.2915,3.2255,Str1
3.4198,6.2803,2.8605,Str1
3.2558,5.2306,1.9748,Str1
3.445,5.928,2.483,Str1
3.1857,6.5555,3.3698,Str1
2.535,5.8695,3.3345,Str1
3.0557,5.4616,2.4059,Str1
2.6658,5.3366,2.6708,Str1
2.47,5.1547,2.6847,Str1
2.47,5.0767,2.6067,Str1
2.5383,5.0086,2.4703,Str1
2.665,4.9698,2.3048,Str1
2.6073,5.0807,2.4734,Str1
3.0722,6.0414,2.9692,Str1
2.8784,5.4832,2.6048,Str1
2.863,5.6924,2.8294,Str1
3.0013,5.4082,2.4069,Str1
3.1227,6.2751,3.1524,Str1
3.775,6.1877,2.4127,Str1
2.4777,6.1983,3.7206,Str1
3.1261,5.4952,2.3691,Str1
2.6934,5.0833,2.3899,Str1
2.5425,5.7656,3.2231,Str1
3.1956,6.3328,3.1372,Str1
3.3252,6.0963,2.7711,Str1
3.0887,5.8153,2.7266,Str1
3.066,6.0809,3.0149,Str1
3.0076,5.6733,2.6657,Str1
2.5425,4.9417,2.3992,Str1
2.737,5.6623,2.9253,Str1
2.7308,5.7384,3.0076,Str1
2.8018,4.502,1.7002,Str1
2.3481,5.1115,2.7634,Str1
2.4913,5.3868,2.8955,Str1
2.7577,5.1314,2.3737,Str1
2.6008,5.517,2.9162,Str1
2.8018,5.2689,2.4671,Str1
2.6777,5.3989,2.7212,Str1
2.3082,5.5014,3.1932,Str1
3.0076,5.2865,2.2789,Str1
2.5557,5.2298,2.6741,Str1
2.73,5.8297,3.0997,Str1
3.0076,5.1393,2.1317,Str1
2.4085,4.5019,2.0934,Str1
3.1369,6.9059,3.769,Str1
3.4456,6.208,2.7624,Str1
3.153,5.5318,2.3788,Str1
2.73,5.8001,3.0701,Str1
2.7424,5.6278,2.8854,Str1
2.6847,6.2661,3.5814,Str1
2.4059,5.8214,3.4155,Str1
2.8784,5.3225,2.4441,Str1
2.6291,5.4103,2.7812,Str1
2.8071,5.237,2.4299,Str1
2.6721,4.7025,2.0304,Str1
2.3481,4.6948,2.3467,Str1
2.405,5.2033,2.7983,Str1
2.8784,5.6588,2.7804,Str1
2.7331,5.2966,2.5635,Str1
2.6032,5.6802,3.077,Str1
2.8018,5.6734,2.8716,Str1
2.795,5.1079,2.3129,Str1
2.6073,5.204,2.5967,Str1
2.5358,5.1079,2.5721,Str1
4.1605,6.7684,2.6079,Str1
3.6423,5.3959,1.7536,Str1
2.99,5.7334,2.7434,Str1
3.1261,5.1392,2.0131,Str1
2.6008,5.1394,2.5386,Str1
2.8221,5.4608,2.6387,Str1
2.896,5.6207,2.7247,Str1
2.863,5.5328,2.6698,Str1
2.737,6.2435,3.5065,Str1
3.1857,6.5179,3.3322,Str1
3.3309,6.2569,2.926,Str1
3.1369,5.665,2.5281,Str1
3.2604,6.0733,2.8129,Str1
3.2015,5.9977,2.7962,Str1
2.9365,6.0951,3.1586,Str1
3.1443,7.5605,4.4162,Str1
3.1857,6.0781,2.8924,Str1
3.0578,6.3707,3.3129,Str1
3.2506,6.0064,2.7558,Str1
3.5897,6.4475,2.8578,Str1
3.5196,6.1337,2.6141,Str1
3.1261,6.2114,3.0853,Str1
3.1443,5.5403,2.396,Str1
2.6073,5.2016,2.5943,Str1
2.5358,5.3711,2.8353,Str1
2.5648,5.2162,2.6514,Str1
2.275,4.7066,2.4316,Str1
2.5483,5.9834,3.4351,Str1
2.7958,5.5258,2.73,Str1
2.419,5.2065,2.7875,Str1
2.5483,5.9893,3.441,Str1
2.9315,6.1986,3.2671,Str1
3.191,6.9802,3.7892,Str1
2.737,5.013,2.276,Str1
2.6291,5.1391,2.51,Str1
2.798,6.1303,3.3323,Str1
2.5383,4.8968,2.3585,Str1
2.4269,5.7437,3.3168,Str1
2.7424,5.7459,3.0035,Str1
2.795,5.5643,2.7693,Str1
2.5358,5.8315,3.2957,Str1
3.0557,6.178,3.1223,Str1
3.315,6.1039,2.7889,Str1
3.153,5.0741,1.9211,Str1
2.6032,4.9544,2.3512,Str1
2.863,4.8903,2.0273,Str1
2.5358,4.9027,2.3669,Str1
2.613,5.2208,2.6078,Str1
2.5557,5.5937,3.038,Str1
2.7958,5.7909,2.9951,Str1
2.9928,5.587,2.5942,Str1
2.8718,5.8029,2.9311,Str1
2.6032,5.0909,2.4877,Str1
2.6073,5.2154,2.6081,Str1
2.8718,5.9333,3.0615,Str1
2.5557,5.5717,3.016,Str1
2.8784,5.3991,2.5207,Str1
2.73,5.2201,2.4901,Str1
2.7493,5.61,2.8607,Str1
2.8607,5.4608,2.6001,Str1
2.8718,5.4795,2.6077,Str1
2.8018,5.8085,3.0067,Str1
2.6847,5.8063,3.1216,Str1
2.8784,6.9609,4.0825,Str1
3.5803,6.138,2.5577,Str1
3.1227,5.9331,2.8104,Str1
2.9928,6.138,3.1452,Str1
3.2015,5.661,2.4595,Str1
2.9928,5.9914,2.9986,Str1
3.2733,6.3056,3.0323,Str1
3.12,5.7758,2.6558,Str1
3.0722,6.1168,3.0446,Str1
2.925,4.7923,1.8673,Str1
2.3838,5.0785,2.6947,Str1
2.4777,4.6379,2.1602,Str1
2.3481,4.6186,2.2705,Str1
2.3436,5.4087,3.0651,Str1
2.613,6.1168,3.5038,Str1
2.5755,5.2075,2.632,Str1
2.665,5.8374,3.1724,Str1
2.8718,5.7237,2.8519,Str1
2.798,5.3423,2.5443,Str1
2.7424,5.2667,2.5243,Str1
2.863,5.5961,2.7331,Str1
2.798,5.7207,2.9227,Str1
2.8071,5.3939,2.5868,Str1
2.7424,5.7326,2.9902,Str1
2.8718,5.5347,2.6629,Str1
2.9964,5.0872,2.0908,Str1
2.6682,5.3966,2.7284,Str1
2.7958,5.1391,2.3433,Str1
2.6032,5.5406,2.9374,Str1
2.6073,5.7384,3.1311,Str1
3.0076,6.0829,3.0753,Str1
2.8666,4.957,2.0904,Str1
2.4734,4.4325,1.9591,Str1
3.12,5.8716,2.7516,Str1
3.0578,5.5938,2.536,Str1
3.0798,6.1764,3.0966,Str1
3.3156,6.5706,3.255,Str1
2.7308,6.0425,3.3117,Str1
3.0349,5.2146,2.1797,Str1
3.3175,8.4587,5.1412,Str1
4.1032,7.1639,3.0607,Str1
2.7331,5.3694,2.6363,Str1
2.6658,5.4739,2.8081,Str1
2.6073,5.1586,2.5513,Str1
2.6202,6.193,3.5728,Str1
3.5154,6.8349,3.3195,Str1
3.6493,6.1757,2.5264,Str1
3.1857,5.4056,2.2199,Str1
2.9279,5.3435,2.4156,Str1
3.5154,5.745,2.2296,Str1
2.8666,5.6541,2.7875,Str1
3.0557,6.1126,3.0569,Str1
3.2526,6.5014,3.2488,Str1
3.4024,5.8797,2.4773,Str1
3.2506,5.9814,2.7308,Str1
3.0612,5.3929,2.3317,Str1
2.6777,5.0805,2.4028,Str1
2.8666,5.403,2.5364,Str1
2.7958,5.7237,2.9279,Str1
2.6934,5.1456,2.4522,Str1
2.4734,5.0841,2.6107,Str1
3.1227,5.6565,2.5338,Str1
2.8607,5.3433,2.4826,Str1
2.795,6.1915,3.3965,Str1
3.0557,5.4701,2.4144,Str1
2.7331,6.2259,3.4928,Str1
2.896,5.6291,2.7331,Str1
2.896,5.4608,2.5648,Str1
2.86,5.5287,2.6687,Str1
2.863,4.9487,2.0857,Str1
3.2662,6.4455,3.1793,Str1
3.4548,5.9333,2.4785,Str1
3.191,5.5321,2.3411,Str1
3.2526,6.1983,2.9457,Str1
3.2733,6.1597,2.8864,Str1
2.7331,5.3443,2.6112,Str1
2.9509,5.983,3.0321,Str1
3.12,5.2041,2.0841,Str1
2.6658,5.7451,3.0793,Str1
2.8666,5.9828,3.1162,Str1
2.9928,5.4187,2.4259,Str1
2.863,6.3104,3.4474,Str1
2.798,5.4639,2.6659,Str1
2.7958,6.1156,3.3198,Str1
3.1227,5.6096,2.4869,Str1
2.8138,5.792,2.9782,Str1
3.0612,5.5626,2.5014,Str1
3.1369,6.981,3.8441,Str1
3.0076,5.8621,2.8545,Str1
3.055,5.306,2.251,Str1
2.5483,5.6568,3.1085,Str1
2.8138,5.6026,2.7888,Str1
2.6777,5.9186,3.2409,Str1
2.7424,5.269,2.5266,Str1
2.6008,4.7123,2.1115,Str1
2.34,5.1025,2.7625,Str1
2.6291,5.0067,2.3776,Str1
2.3409,4.882,2.5411,Str1
2.6032,5.3773,2.7741,Str1
2.8018,5.395,2.5932,Str1
2.6934,5.6115,2.9181,Str1
2.7331,5.7321,2.999,Str1
2.8071,5.3464,2.5393,Str1
2.5483,5.64,3.0917,Str1
2.7331,5.3072,2.5741,Str1
2.3481,5.0084,2.6603,Str1
2.535,6.1597,3.6247,Str1
3.2088,5.8148,2.606,Str1
2.8718,5.5915,2.7197,Str1
2.7958,5.2907,2.4949,Str1
2.6777,5.2684,2.5907,Str1
2.5383,5.9272,3.3889,Str1
2.737,5.8538,3.1168,Str1
3.0557,5.5937,2.538,Str1
2.863,5.2758,2.4128,Str1
2.73,6.1547,3.4247,Str1
3.066,5.6738,2.6078,Str1
2.7424,5.3982,2.6558,Str1
2.73,5.5381,2.8081,Str1
2.6073,4.4869,1.8796,Str1
2.081,4.6845,2.6035,Str1
2.3409,4.8782,2.5373,Str1
2.3337,5.085,2.7513,Str1
2.7331,5.0932,2.3601,Str1
2.7308,5.4354,2.7046,Str1
2.6777,5.0195,2.3418,Str1
2.4836,5.1475,2.6639,Str1
2.8071,5.8507,3.0436,Str1
2.9907,5.5908,2.6001,Str1
2.99,5.9268,2.9368,Str1
3.066,5.1211,2.0551,Str1
2.7153,4.8633,2.148,Str1
2.4364,5.434,2.9976,Str1
3.3461,6.4822,3.1361,Str1
2.9257,6.1217,3.196,Str1
3.0557,5.7005,2.6448,Str1
3.39,5.6277,2.2377,Str1
2.8138,6.1925,3.3787,Str1
3.1369,7.3642,4.2273,Str1
3.8487,7.7039,3.8552,Str1
4.0634,9.4986,5.4352,Str1
3.0076,5.5939,2.5863,Str1
2.9257,5.732,2.8063,Str1
3.0013,5.7865,2.7852,Str1
3.1207,6.3334,3.2127,Str1
3.5316,6.2866,2.755,Str1
3.4548,5.9785,2.5237,Str1
3.25,6.7121,3.4621,Str1
3.7192,5.9207,2.2015,Str1
2.405,4.8842,2.4792,Str1
2.86,5.726,2.866,Str1
3.1227,6.4374,3.3147,Str1
2.925,6.0731,3.1481,Str1
3.0578,6.7924,3.7346,Str1
3.4024,7.1269,3.7245,Str1
3.38,6.1969,2.8169,Str1
3.1956,6.6583,3.4627,Str1
3.4024,6.4518,3.0494,Str1
3.2662,5.9687,2.7025,Str1
3.1369,9.1939,6.057,Str1
4.233,6.7053,2.4723,Str1
3.5196,5.9682,2.4486,Str1
3.0722,6.1973,3.1251,Str1
3.3856,6.379,2.9934,Str1
3.5124,5.9921,2.4797,Str1
3.185,6.4701,3.2851,Str1
3.4548,5.8558,2.401,Str1
2.9928,6.3753,3.3825,Str1
3.1877,5.9807,2.793,Str1
3.3156,6.2627,2.9471,Str1
3.2015,5.293,2.0915,Str1
2.9257,5.4673,2.5416,Str1
2.6073,5.573,2.9657,Str1
2.795,5.9473,3.1523,Str1
2.73,6.3113,3.5813,Str1
3.1369,5.4677,2.3308,Str1
2.737,5.0842,2.3472,Str1
2.5483,5.4885,2.9402,Str1
2.7577,6.124,3.3663,Str1
3.0013,6.8281,3.8268,Str1
3.5774,6.1979,2.6205,Str1
3.2015,5.8666,2.6651,Str1
2.795,5.3884,2.5934,Str1
2.737,5.3331,2.5961,Str1
2.6,5.2065,2.6065,Str1
2.798,5.3965,2.5985,Str1
2.4059,4.7484,2.3425,Str1
2.21,5.0012,2.7912,Str1
2.5006,4.9852,2.4846,Str1
2.613,5.4354,2.8224,Str1
2.6777,5.6537,2.976,Str1
2.896,5.4026,2.5066,Str1
2.6008,5.5977,2.9969,Str1
